SCHOOL_ID,SCHOOL_SHORT_NAME,RCDTS_CODE
610350,BLACK,150162990252086
609803,BLAINE,150162990252087
610238,BOND,150162990252088
609804,BOONE,150162990252089
609806,BRADWELL,150162990252090
609808,HALEY,150162990252092
610242,BRENNEMANN,150162990252093
609809,BRENTANO,150162990252094
609810,BRIDGE,150162990252095
609811,BRIGHT,150162990252096
609812,BROWN W,150162990252097
609813,BROWNELL,150162990252098
609815,BOUCHET,150162990252100
609817,BUDLONG,150162990252101
609818,BURBANK,150162990252102
609819,BURKE,150162990252103
609820,BURLEY,150162990252104
609821,BURNHAM,150162990252105
609826,CASTELLANOS,150162990252106
609827,BURNSIDE,150162990252107
609828,BURR,150162990252108
609829,BURROUGHS,150162990252109
609830,BRUNSON,150162990252110
609832,BYRNE,150162990252112
609833,CALDWELL,150162990252113
609835,CAMERON,150162990252118
609836,CANTY,150162990252119
609837,CARNEGIE,150162990252120
609839,CARROLL,150162990252122
609844,CARTER,150162990252123
609849,CASSELL,150162990252126
610251,CATHER,150162990252127
609851,CHALMERS,150162990252128
609852,CHAPPELL,150162990252129
609853,CHASE,150162990252130
609856,CLAY,150162990252132
609857,CLEVELAND,150162990252133
609859,CLINTON,150162990252134
609861,CLISSOLD,150162990252135
609862,COLES,150162990252136
609863,COLUMBUS,150162990252138
609864,COOK,150162990252139
609866,COONLEY,150162990252141
609867,COOPER,150162990252142
609870,CORKERY,150162990252145
609873,CROWN,150162990252147
609875,DARWIN,150162990252148
609876,DAVIS N,150162990252149
609879,DAWES,150162990252150
609883,DENEEN,150162990252153
610252,DETT,150162990252154
609854,CHOPIN,150162990252155
609884,DEVER,150162990252158
609885,DEWEY,150162990252159
610363,DISNEY,150162990252160
609887,DIXON,150162990252161
609893,DORE,150162990252167
609894,DRAKE,150162990252169
609896,DRUMMOND,150162990252172
610364,DUBOIS,150162990252173
610263,DULLES,150162990252175
610188,DUNNE,150162990252177
610254,DVORAK,150162990252179
609897,EARLE,150162990252180
609898,EBERHART,150162990252181
609899,EBINGER,150162990252182
609901,EDGEBROOK,150162990252183
609794,EDISON,150162990252184
609903,EDWARDS,150162990252185
609904,ELLINGTON,150162990252187
609907,ERICSON,150162990252190
609908,ESMOND,150162990252191
609909,EVERETT,150162990252192
610362,EVERS,150162990252193
609910,FALCONER,150162990252194
610055,FARADAY,150162990252195
609912,FARNSWORTH,150162990252198
609917,FERNWOOD,150162990252202
609918,FIELD,150162990252203
609919,FISKE,150162990252204
609924,FORT DEARBORN,150162990252206
609926,FRANKLIN,150162990252207
609928,FULLER,150162990252209
609929,FULTON,150162990252210
609930,FUNSTON,150162990252211
609933,GALE,150162990252212
609935,GALLISTEL,150162990252213
609937,GARVY,150162990252214
609938,GARY,150162990252215
609942,GOETHE,150162990252220
609943,OWENS,150162990252222
609945,GOUDY,150162990252223
609947,GRAHAM ES,150162990252224
609949,GRAY,150162990252226
609850,GREELEY,150162990252227
609952,GREENE,150162990252229
609954,GREGORY,150162990252230
609955,GRESHAM,150162990252231
609956,GRIMES,150162990252232
609959,HAINES,150162990252235
609939,GILLESPIE,150162990252236
609960,HALE,150162990252239
609963,HAMILTON,150162990252240
609964,HAMLINE,150162990252241
609966,HAMMOND,150162990252242
609969,HARTE,150162990252244
609971,HARVARD,150162990252246
609972,HAUGAN,150162990252247
609974,HAWTHORNE,150162990252249
609976,HAYT,150162990252252
609979,HEALY,150162990252254
609981,HEARST,150162990252255
609983,HEDGES,150162990252256
609985,HEFFERAN,150162990252257
609986,HENDERSON,150162990252258
609987,HENDRICKS,150162990252259
609988,HENRY,150162990252260
609991,HERZL,150162990252263
609994,HIBBARD,150162990252265
610295,HIGGINS,150162990252266
610299,KING ES,150162990252267
609995,HITCH,150162990252268
609996,HOLDEN,150162990252269
609997,HOLMES,150162990252270
610000,HOWE,150162990252273
610002,HOYNE,150162990252275
610005,HUGHES C,150162990252276
610006,HURLEY,150162990252280
610121,IRVING,150162990252281
610060,JACKSON A,150162990252283
610010,JAHN,150162990252284
610011,JAMIESON,150162990252285
610012,JENNER,150162990252287
610271,JENSEN,150162990252288
610013,PILSEN,150162990252289
610274,JOHNSON,150162990252290
610015,JUNGMAN,150162990252292
610016,KELLOGG,150162990252293
610019,KERSHAW,150162990252294
610022,KILMER,150162990252296
610026,KINZIE,150162990252299
610027,KIPLING,150162990252300
610029,LOZANO,150162990252303
610030,KOZMINSKI,150162990252304
610033,LASALLE,150162990252306
610034,LAWNDALE,150162990252309
610036,LEWIS,150162990252311
610037,LIBBY,150162990252313
610038,LINCOLN,150162990252314
610039,VON LINNE,150162990252315
610040,LLOYD,150162990252316
610041,LOCKE J,150162990252317
610043,LOVETT,150162990252319
610044,LOWELL,150162990252321
610046,LYON,150162990252323
610047,MADISON,150162990252324
610048,MANIERRE,150162990252326
610052,MANN,150162990252328
610053,MARQUETTE,150162990252330
610054,MARSH,150162990252331
610056,MASON,150162990252334
610059,MAYER,150162990252337
610062,MCCLELLAN,150162990252339
610063,MCCORMICK,150162990252341
610269,MCCUTCHEON,150162990252344
610066,MCDADE,150162990252345
610067,MCKAY,150162990252346
610070,MCPHERSON,150162990252349
610293,MELODY,150162990252352
610073,MITCHELL,150162990252353
