city,county,transfer_count
Cary,McHenry,3
Oak Lawn,Cook,9
Glenview,Cook,56
Clarendon Hills,Dupage,8
Libertyville,Lake,6
Summit,Cook,8
Bolingbrook,Will,12
Park Forest,Will,1
Roselle,Dupage,3
Geneseo,Henry,1
Shorewood,Will,1
Plainfield,Kendall,1
North Barrington,Lake,3
Lake Forest,Lake,5
Rosemont,Cook,2
Skokie,Cook,34
Carol Stream,Dupage,6
Elmwood,Peoria,1
Westmont,Dupage,4
Burr Ridge,Dupage,6
Medinah,Dupage,1
Galesburg,Knox,1
Elwood,Will,1
Glen Ellyn,Dupage,14
Saint Charles,Kane,2
Antioch,Lake,2
Homer Glen,Will,4
Alton,Madison,2
Hanover Park,Cook,2
Stickney,Cook,5
Streamwood,Kane,13
Fulton,Whiteside,2
Bridgeview,Cook,4
White Heath,Piatt,1
Quincy,Adams,1
Hillside,Cook,11
Harvard,McHenry,1
Tinley Park,Will,2
River Forest,Cook,10
Danville,Vermilion,3
Mt Prospect,Cook,24
Morris,Grundy,2
Alsip,Cook,5
Eureka,Woodford,1
Lansing,Cook,7
Shelbyville,Shelby,1
Robinson,Crawford,1
Rushville,Schuyler,1
Romeoville,Will,30
Lake in the Hills,McHenry,4
Dixmoor,Cook,1
Mendota,La Salle,2
Niles,Cook,17
Lyons,Cook,4
Midlothian,Cook,5
Hanover Park,Dupage,2
Stillman Valley,Ogle,1
Minooka,Grundy,4
Ingleside,Lake,6
Berwyn,Cook,62
Lombard,Dupage,19
Belleville,Saint Clair,1
New Lenox,Will,3
Lake Zurich,Lake,3
Roanoke,Woodford,1
Broadview,Cook,2
Schaumburg,Cook,11
Wood Dale,Dupage,10
Woodridge,Dupage,5
Prospect Heights,Cook,4
Bellwood,Cook,15
Rochelle,Ogle,3
Frankfort,Will,6
Schiller Park,Cook,8
Urbana,Champaign,2
Arcola,Douglas,1
Vernon Hills,Lake,6
Maywood,Cook,24
Burbank,Cook,9
Harwood Heights,Cook,3
Staunton,Macoupin,1
Itasca,Dupage,1
Palos Heights,Cook,3
Glencoe,Cook,13
Washington,Tazewell,3
Blue Island,Cook,4
Gurnee,Lake,7
Jacksonville,Morgan,3
Deerfield,Lake,14
Woodstock,McHenry,1
Johnsburg,McHenry,1
Western Springs,Cook,4
Kankakee,Kankakee,5
Waukegan,Lake,27
Normal,McLean,2
Bloomingdale,Dupage,5
Morton Grove,Cook,14
Bensenville,Dupage,18
Hoffman Estates,Cook,20
Savanna,Carroll,1
Crystal Lake,McHenry,24
McHenry,McHenry,3
Oak Forest,Cook,4
Gages Lake,Lake,2
Geneva,Kane,8
Godfrey,Madison,1
Lincolnwood,Cook,4
Caledonia,Boone,1
Beach Park,Lake,3
Steger,Cook,3
Sandwich,Dekalb,4
Roscoe,Winnebago,3
Belvidere,Boone,3
Olympia Fields,Cook,2
Evergreen Park,Cook,7
Warrenville,Dupage,1
Dolton,Cook,8
West Chicago,Dupage,3
Forest Park,Cook,5
Tinley Park,Cook,3
Dundee,Kane,2
Elk Grove Village,Cook,15
North Chicago,Lake,1
Round Lake,Lake,3
Benton,Franklin,2

Note: this report defines the North_Side as including the following: North Side
Reference: https://en.wikipedia.org/wiki/Community_areas_in_Chicago#/media/File:Map_of_the_Community_Areas_and_%27Sides%27_of_the_City_of_Chicago.svg
