city,county,transfer_count
Sullivan,Moultrie,3
Glenview,Cook,4
El Paso,Woodford,1
Olympia Fields,Cook,14
Summit,Cook,124
Fairfield,Wayne,2
Bolingbrook,Will,109
Clinton,Dewitt,5
Roselle,Dupage,3
Shorewood,Will,5
South Chicago Heights,Cook,3
Orland Hills,Cook,3
Momence,Kankakee,1
Grayslake,Lake,2
West Dundee,Kane,2
Carol Stream,Dupage,5
Lisle,Dupage,1
Westmont,Dupage,3
Carpentersville,Lake,1
Lincolnwood,Cook,1
Machesney Park,Winnebago,2
Cahokia,Saint Clair,2
Burr Ridge,Dupage,10
Medinah,Dupage,1
Orland Park,Cook,42
Elwood,Will,2
Ottawa,La Salle,5
Glen Ellyn,Dupage,6
Warrenville,Dupage,1
Homer Glen,Will,7
East Moline,Rock Island,9
Hanover Park,Cook,7
Stickney,Cook,21
Peotone,Will,3
Wood Dale,Dupage,2
Sandwich,Dekalb,1
Hillside,Cook,15
Monee,Will,3
Harvard,McHenry,5
Tinley Park,Will,1
Warrenville,Dept Of Corrections,2
Danville,Vermilion,75
Mt Prospect,Cook,10
Morris,Grundy,8
Alsip,Cook,78
Park Ridge,Cook,4
Lansing,Cook,74
Hodgkins,Cook,5
Breese,Clinton,1
Belleville,Saint Clair,1
Charleston,Coles,6
Romeoville,Will,58
Decatur,Macon,27
Antioch,Lake,5
Dixmoor,Cook,57
Anna,Union,1
Mendota,La Salle,8
Niles,Cook,10
Round Lake,Lake,5
Lyons,Cook,44
Midlothian,Cook,78
Hanover Park,Dupage,1
Downers Grove,Dupage,26
Justice,Cook,80
Fairbury,Livingston,1
Ingleside,Lake,1
Berwyn,Cook,191
Lombard,Dupage,24
Glenwood,Cook,10
New Lenox,Will,8
West Peoria,Peoria,2
Streamwood,Kane,19
Broadview,Cook,1
Galesburg,Knox,21
Riverdale,Cook,77
Bridgeview,Cook,51
Nashville,Washington,3
Prospect Heights,Cook,1
Bellwood,Cook,21
Frankfort,Will,7
Moline,Rock Island,4
Burr Ridge,Cook,1
Schiller Park,Cook,2
Urbana,Champaign,15
Vernon Hills,Lake,3
Maywood,Cook,49
Burbank,Cook,266
Manhattan,Will,1
Minonk,Woodford,2
Emden,Logan,1
Maple Park,Kane,1
Earlville,La Salle,2
Palos Heights,Cook,35
Harwood Heights,Cook,1
Beach Park,Lake,1
Flanagan,Livingston,1
Blue Island,Cook,92
Gurnee,Lake,12
Palos Park,Cook,6
Minooka,Grundy,14
Woodstock,McHenry,7
Harrisburg,Dept Of Corrections,6
West Chicago,Dupage,14
Manteno,Kankakee,6
Marseilles,La Salle,5
Kankakee,Kankakee,34
Forest Park,Cook,5
Mokena,Will,2
Fox Lake,Lake,2
Loves Park,Winnebago,3
Normal,McLean,17
Saint Anne,Kankakee,2
Milan,Rock Island,1
Granville,Putnam,1
Bloomingdale,Dupage,4
Bensenville,Dupage,7
Hoffman Estates,Cook,9
O Fallon,Saint Clair,2
Villa Grove,Douglas,2
Elburn,Kane,1
Buda,Bureau,1
Crest Hill,Will,13
Crystal Lake,McHenry,7
McHenry,McHenry,4
Oak Forest,Cook,45
Wheaton,Dupage,13
Merrionette Park,Cook,6
Geneva,Kane,3
Rochelle,Ogle,1
Arlington Heights,Cook,9
Palatine,Cook,22
Quincy,Adams,16
Kewanee,Dept Of Corrections,5
Collinsville,Madison,4
Hoopeston,Vermilion,3
Belvidere,Boone,18
Malta,Dekalb,1
Louisville,Clay,1
Alton,Madison,1
Bourbonnais,Kankakee,3
Evergreen Park,Cook,55
Coal City,Grundy,2
Cullom,Livingston,6
Waukegan,Lake,90
Tinley Park,Cook,28
Dundee,Kane,2
Glendale Heights,Dupage,10
Mundelein,Lake,5
Kewanee,Henry,10
Western Springs,Cook,1

Note: this report defines the Southwest_Side as including the following: Southwest Side
Reference: https://en.wikipedia.org/wiki/Community_areas_in_Chicago#/media/File:Map_of_the_Community_Areas_and_%27Sides%27_of_the_City_of_Chicago.svg
