SCHOOL_ID,SCHOOL_NAME,STATUS_SY1617,GRADE_CAT_SY1617,GOVERNANCE_SY1617,NETWORK_SY1617,BOUNDARY_SY1617,TA,RA,ANR,RNA,TR,RA/TA,ANR/TA,RA/TR,RNA/TR
609839,CARROLL,ACTIVE,ES,Network 10,District,Attendance Area School,502,405,97,821,1226,0.8067729084,0.1932270916,0.3303425775,0.6696574225
609842,CARSON,ACTIVE,ES,ISP,District,Attendance Area School,1086,983,103,383,1366,0.9051565378,0.09484346225,0.7196193265,0.2803806735
609844,CARTER,ACTIVE,ES,AUSL,District,Attendance Area School,406,255,151,387,642,0.6280788177,0.3719211823,0.3971962617,0.6028037383
609845,CARVER G,ACTIVE,ES,Network 13,District,Attendance Area School,464,364,100,276,640,0.7844827586,0.2155172414,0.56875,0.43125
609848,ALDRIDGE,ACTIVE,ES,Network 13,District,Attendance Area School,167,122,45,184,306,0.7305389222,0.2694610778,0.3986928105,0.6013071895
609849,CASSELL,ACTIVE,ES,Network 10,District,Attendance Area School,410,376,34,61,437,0.9170731707,0.08292682927,0.8604118993,0.1395881007
609850,GREELEY,ACTIVE,ES,Network 4,District,Attendance Area School,614,85,529,150,235,0.1384364821,0.8615635179,0.3617021277,0.6382978723
609851,CHALMERS,ACTIVE,ES,AUSL,District,Attendance Area School,372,128,244,122,250,0.3440860215,0.6559139785,0.512,0.488
609852,CHAPPELL,ACTIVE,ES,Network 2,District,Attendance Area School,606,278,328,196,474,0.4587458746,0.5412541254,0.5864978903,0.4135021097
609853,CHASE,ACTIVE,ES,Network 4,District,Attendance Area School,458,223,235,158,381,0.4868995633,0.5131004367,0.5853018373,0.4146981627
609854,CHOPIN,ACTIVE,ES,Network 5,District,Attendance Area School,461,268,193,673,941,0.5813449024,0.4186550976,0.2848034006,0.7151965994
609856,CLAY,ACTIVE,ES,Network 13,District,Attendance Area School,615,564,51,81,645,0.9170731707,0.08292682927,0.8744186047,0.1255813953
609857,CLEVELAND,ACTIVE,ES,Network 1,District,Attendance Area School,615,434,181,353,787,0.7056910569,0.2943089431,0.5514612452,0.4485387548
609859,CLINTON,ACTIVE,ES,Network 2,District,Attendance Area School,1173,1129,44,395,1524,0.9624893436,0.03751065644,0.7408136483,0.2591863517
609861,CLISSOLD,ACTIVE,ES,Network 10,District,Attendance Area School,516,443,73,155,598,0.8585271318,0.1414728682,0.7408026756,0.2591973244
609862,COLES,ACTIVE,ES,Network 12,District,Attendance Area School,473,305,168,332,637,0.644820296,0.355179704,0.4788069074,0.5211930926
609863,COLUMBUS,ACTIVE,ES,Network 5,District,Attendance Area School,294,74,220,97,171,0.2517006803,0.7482993197,0.432748538,0.567251462
609864,COOK,ACTIVE,ES,Network 11,District,Attendance Area School,366,258,108,367,625,0.7049180328,0.2950819672,0.4128,0.5872
609865,JORDAN,ACTIVE,ES,Network 2,District,Attendance Area School,508,423,85,314,737,0.8326771654,0.1673228346,0.5739484396,0.4260515604
609866,COONLEY,ACTIVE,ES,Network 2,District,Attendance Area School,948,654,294,134,788,0.6898734177,0.3101265823,0.8299492386,0.1700507614
609867,COOPER,ACTIVE,ES,Network 7,District,Attendance Area School,493,320,173,253,573,0.6490872211,0.3509127789,0.5584642234,0.4415357766
609869,LANGFORD,ACTIVE,ES,Network 11,District,Attendance Area School,316,188,128,252,440,0.5949367089,0.4050632911,0.4272727273,0.5727272727
609870,CORKERY,ACTIVE,ES,Network 7,District,Attendance Area School,544,443,101,326,769,0.8143382353,0.1856617647,0.5760728218,0.4239271782
609872,PEREZ,ACTIVE,ES,Network 7,District,Attendance Area School,311,201,110,78,279,0.6463022508,0.3536977492,0.7204301075,0.2795698925
609873,CROWN,ACTIVE,ES,Network 5,District,Attendance Area School,305,186,119,232,418,0.6098360656,0.3901639344,0.4449760766,0.5550239234
609874,DIRKSEN,ACTIVE,ES,Network 1,District,Attendance Area School,884,855,29,115,970,0.9671945701,0.03280542986,0.881443299,0.118556701
609875,DARWIN,ACTIVE,ES,Network 4,District,Attendance Area School,523,251,272,319,570,0.4799235182,0.5200764818,0.4403508772,0.5596491228
609876,DAVIS N,ACTIVE,ES,Network 8,District,Attendance Area School,776,645,131,653,1298,0.831185567,0.168814433,0.4969183359,0.5030816641
609879,DAWES,ACTIVE,ES,Network 10,District,Attendance Area School,1045,970,75,317,1287,0.9282296651,0.07177033493,0.7536907537,0.2463092463
609883,DENEEN,ACTIVE,ES,AUSL,District,Attendance Area School,562,253,309,294,547,0.4501779359,0.5498220641,0.4625228519,0.5374771481
609884,DEVER,ACTIVE,ES,Network 1,District,Attendance Area School,788,768,20,111,879,0.9746192893,0.02538071066,0.8737201365,0.1262798635
609885,DEWEY,ACTIVE,ES,AUSL,District,Attendance Area School,419,152,267,109,261,0.3627684964,0.6372315036,0.5823754789,0.4176245211
609887,DIXON,ACTIVE,ES,Network 12,District,Attendance Area School,584,265,319,226,491,0.4537671233,0.5462328767,0.5397148676,0.4602851324
609891,DOOLITTLE,ACTIVE,ES,Network 9,District,Attendance Area School,287,217,70,407,624,0.756097561,0.243902439,0.3477564103,0.6522435897
609893,DORE,ACTIVE,ES,Network 10,District,Attendance Area School,737,680,57,72,752,0.9226594301,0.07734056988,0.9042553191,0.09574468085
609894,DRAKE,ACTIVE,ES,Network 9,District,Attendance Area School,418,255,163,278,533,0.6100478469,0.3899521531,0.478424015,0.521575985
609897,EARLE,ACTIVE,ES,Network 11,District,Attendance Area School,454,218,236,192,410,0.4801762115,0.5198237885,0.5317073171,0.4682926829
609898,EBERHART,ACTIVE,ES,Network 10,District,Attendance Area School,1423,1394,29,408,1802,0.97962052,0.02037947997,0.7735849057,0.2264150943
609899,EBINGER,ACTIVE,ES,ISP,District,Attendance Area School,800,708,92,150,858,0.885,0.115,0.8251748252,0.1748251748
609900,CURTIS,ACTIVE,ES,AUSL,District,Attendance Area School,578,435,143,532,967,0.7525951557,0.2474048443,0.4498448811,0.5501551189
609901,EDGEBROOK,ACTIVE,ES,ISP,District,Attendance Area School,515,457,58,47,504,0.8873786408,0.1126213592,0.9067460317,0.09325396825
609902,METCALFE,ACTIVE,ES,Network 13,District,Attendance Area School,417,340,77,293,633,0.8153477218,0.1846522782,0.5371248025,0.4628751975
609903,EDWARDS,ACTIVE,ES,ISP,District,Attendance Area School,1545,1347,198,698,2045,0.8718446602,0.1281553398,0.6586797066,0.3413202934
609904,ELLINGTON,ACTIVE,ES,Network 3,District,Attendance Area School,638,481,157,802,1283,0.7539184953,0.2460815047,0.3749025721,0.6250974279
609908,ESMOND,ACTIVE,ES,Network 10,District,Attendance Area School,321,242,79,201,443,0.753894081,0.246105919,0.546275395,0.453724605
609909,EVERETT,ACTIVE,ES,Network 8,District,Attendance Area School,200,156,44,207,363,0.78,0.22,0.4297520661,0.5702479339
609910,FALCONER,ACTIVE,ES,Network 3,District,Attendance Area School,1207,1071,136,514,1585,0.8873239437,0.1126760563,0.6757097792,0.3242902208
609912,FARNSWORTH,ACTIVE,ES,Network 1,District,Attendance Area School,638,467,171,163,630,0.7319749216,0.2680250784,0.7412698413,0.2587301587
609917,FERNWOOD,ACTIVE,ES,Network 13,District,Attendance Area School,304,198,106,140,338,0.6513157895,0.3486842105,0.5857988166,0.4142011834
609918,FIELD,ACTIVE,ES,Network 2,District,Attendance Area School,199,176,23,251,427,0.8844221106,0.1155778894,0.4121779859,0.5878220141
609919,FISKE,ACTIVE,ES,Network 9,District,Attendance Area School,464,329,135,477,806,0.7090517241,0.2909482759,0.4081885856,0.5918114144
609920,KANOON,ACTIVE,ES,Network 7,District,Attendance Area School,660,623,37,217,840,0.9439393939,0.05606060606,0.7416666667,0.2583333333
609921,TELPOCHCALLI,ACTIVE,ES,Network 7,District,Attendance Area School,288,45,243,95,140,0.15625,0.84375,0.3214285714,0.6785714286
609924,FORT DEARBORN,ACTIVE,ES,Network 11,District,Attendance Area School,404,258,146,372,630,0.6386138614,0.3613861386,0.4095238095,0.5904761905
609927,FOSTER PARK,ACTIVE,ES,Network 11,District,Attendance Area School,378,174,204,265,439,0.4603174603,0.5396825397,0.3963553531,0.6036446469
609928,FULLER,ACTIVE,ES,AUSL,District,Attendance Area School,366,185,181,597,782,0.5054644809,0.4945355191,0.23657289,0.76342711
609929,FULTON,ACTIVE,ES,Network 11,District,Attendance Area School,378,339,39,647,986,0.8968253968,0.1031746032,0.3438133874,0.6561866126
609930,FUNSTON,ACTIVE,ES,Network 4,District,Attendance Area School,449,274,175,293,567,0.6102449889,0.3897550111,0.4832451499,0.5167548501
609933,GALE,ACTIVE,ES,Network 2,District,Attendance Area School,363,315,48,461,776,0.867768595,0.132231405,0.4059278351,0.5940721649
609935,GALLISTEL,ACTIVE,ES,Network 13,District,Attendance Area School,884,789,95,119,908,0.8925339367,0.1074660633,0.8689427313,0.1310572687
609937,GARVY,ACTIVE,ES,Network 1,District,Attendance Area School,790,775,15,191,966,0.9810126582,0.01898734177,0.8022774327,0.1977225673
609938,GARY,ACTIVE,ES,Network 7,District,Attendance Area School,1118,1006,112,273,1279,0.8998211091,0.1001788909,0.7865519937,0.2134480063
609939,GILLESPIE,ACTIVE,ES,Network 12,District,Attendance Area School,554,412,142,667,1079,0.7436823105,0.2563176895,0.3818350324,0.6181649676
609941,RANDOLPH,ACTIVE,ES,Network 11,District,Attendance Area School,505,436,69,380,816,0.8633663366,0.1366336634,0.5343137255,0.4656862745
609942,GOETHE,ACTIVE,ES,Network 4,District,Attendance Area School,790,310,480,129,439,0.3924050633,0.6075949367,0.7061503417,0.2938496583
609943,OWENS,ACTIVE,ES,Network 13,District,Attendance Area School,435,327,108,317,644,0.7517241379,0.2482758621,0.5077639752,0.4922360248
609944,GRISSOM,ACTIVE,ES,ISP,District,Attendance Area School,368,323,45,34,357,0.8777173913,0.1222826087,0.9047619048,0.09523809524
609945,GOUDY,ACTIVE,ES,Network 2,District,Attendance Area School,727,449,278,234,683,0.6176066025,0.3823933975,0.6573938507,0.3426061493
609947,GRAHAM ES,ACTIVE,ES,Network 6,District,Attendance Area School,449,215,234,182,397,0.4788418708,0.5211581292,0.5415617128,0.4584382872
609949,GRAY,ACTIVE,ES,Network 1,District,Attendance Area School,1228,1149,79,621,1770,0.9356677524,0.06433224756,0.6491525424,0.3508474576
609950,ORTIZ DE DOMINGUEZ,ACTIVE,ES,Network 7,District,Attendance Area School,596,565,31,200,765,0.9479865772,0.05201342282,0.7385620915,0.2614379085
609952,GREENE,ACTIVE,ES,Network 8,District,Attendance Area School,554,468,86,321,789,0.844765343,0.155234657,0.5931558935,0.4068441065
609954,GREGORY,ACTIVE,ES,Network 5,District,Attendance Area School,356,286,70,544,830,0.8033707865,0.1966292135,0.3445783133,0.6554216867
609955,GRESHAM,ACTIVE,ES,AUSL,District,Attendance Area School,339,222,117,280,502,0.6548672566,0.3451327434,0.4422310757,0.5577689243
609956,GRIMES,ACTIVE,ES,Network 10,District,Attendance Area School,467,405,62,63,468,0.8672376874,0.1327623126,0.8653846154,0.1346153846
609959,HAINES,ACTIVE,ES,Network 6,District,Attendance Area School,671,489,182,68,557,0.7287630402,0.2712369598,0.8779174147,0.1220825853
609960,HALE,ACTIVE,ES,Network 10,District,Attendance Area School,974,898,76,139,1037,0.9219712526,0.07802874743,0.8659594986,0.1340405014
609961,NINOS HEROES,ACTIVE,ES,Network 12,District,Attendance Area School,373,253,120,163,416,0.6782841823,0.3217158177,0.6081730769,0.3918269231
609963,HAMILTON,ACTIVE,ES,ISP,District,Attendance Area School,477,176,301,104,280,0.3689727463,0.6310272537,0.6285714286,0.3714285714
609964,HAMLINE,ACTIVE,ES,Network 8,District,Attendance Area School,610,542,68,400,942,0.8885245902,0.1114754098,0.5753715499,0.4246284501
609966,HAMMOND,ACTIVE,ES,Network 7,District,Attendance Area School,458,325,133,331,656,0.7096069869,0.2903930131,0.4954268293,0.5045731707
609967,FINKL,ACTIVE,ES,Network 7,District,Attendance Area School,428,267,161,502,769,0.6238317757,0.3761682243,0.3472041612,0.6527958388
609968,MCAULIFFE,ACTIVE,ES,Network 4,District,Attendance Area School,764,597,167,359,956,0.7814136126,0.2185863874,0.6244769874,0.3755230126
609969,HARTE,ACTIVE,ES,Network 9,District,Attendance Area School,330,128,202,133,261,0.3878787879,0.6121212121,0.4904214559,0.5095785441
609971,HARVARD,ACTIVE,ES,AUSL,District,Attendance Area School,427,309,118,475,784,0.7236533958,0.2763466042,0.3941326531,0.6058673469
609972,HAUGAN,ACTIVE,ES,Network 1,District,Attendance Area School,957,914,43,700,1614,0.9550679206,0.04493207941,0.5662949195,0.4337050805
609973,ZAPATA,ACTIVE,ES,ISP,District,Attendance Area School,835,794,41,106,900,0.9508982036,0.04910179641,0.8822222222,0.1177777778
609975,HAY,ACTIVE,ES,Network 3,District,Attendance Area School,425,242,183,318,560,0.5694117647,0.4305882353,0.4321428571,0.5678571429
