SCHOOL ID (R-C-D-T-S),"SCHOOL TYPE CODE (0,1,2,C)",SCHOOL NAME,DISTRICT NAME,CITY,COUNTY ,"DISTRICT TYPE CODE (0,1,2,9)","DISTRICT SIZE CODE (1,2,...8,9)",DISTRICT TYPE NAME,DISTRICT SIZE NAME,SCHOOL TYPE NAME,GRADES IN SCHOOL,SCHOOL - WHITE %,SCHOOL - BLACK %,SCHOOL - HISPANIC %,SCHOOL - ASIAN %,SCHOOL - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,SCHOOL - NATIVE AMERICAN %,SCHOOL - TWO OR MORE RACES %,SCHOOL TOTAL ENROLLMENT,DISTRICT - WHITE %,DISTRICT - BLACK %,DISTRICT - HISPANIC %,DISTRICT - ASIAN %,DISTRICT - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,DISTRICT - NATIVE AMERICAN %,DISTRICT - TWO OR MORE RACES %,DISTRICT TOTAL ENROLLMENT
50160620042010,2,Plainfield Elem School           ,CCSD 62                          ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,13.9,2.4,68.4,13.6,0,0.6,1.2,332,40.8,4.3,41.4,11,0.3,0.3,2,"4,693"
50160620042011,2,South Elem School                ,CCSD 62                          ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,38.3,1.8,49.8,7,0,0,3.1,227,40.8,4.3,41.4,11,0.3,0.3,2,"4,693"
50160620042012,2,Terrace Elem School              ,CCSD 62                          ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,50.4,3,30,11.3,0,0,5.2,230,40.8,4.3,41.4,11,0.3,0.3,2,"4,693"
50160630021003,1,Gemini Jr High School            ,East Maine SD 63                 ,Niles            ,Cook       ,0,3,ELEMENTARY ,LARGE ,MIDDLE SCHL,7 8                            ,36.3,4.2,24.2,31.4,0,0,3.9,764,33.1,3.7,25.1,29.1,0.2,0.1,8.7,"3,539"
50160630022006,2,V H Nelson Elem School           ,East Maine SD 63                 ,Niles            ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5 6                  ,40.6,2.4,35.5,14.6,0.3,0,6.6,577,33.1,3.7,25.1,29.1,0.2,0.1,8.7,"3,539"
50160630022008,2,Stevenson School                 ,East Maine SD 63                 ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5 6                  ,22.7,7.1,28.7,33.9,0.5,0.2,6.9,436,33.1,3.7,25.1,29.1,0.2,0.1,8.7,"3,539"
50160630022009,2,Mark Twain Elem School           ,East Maine SD 63                 ,Niles            ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5 6                  ,26.8,3.6,20.4,36.7,0.3,0.6,11.6,362,33.1,3.7,25.1,29.1,0.2,0.1,8.7,"3,539"
50160630022010,2,Washington Elem School           ,East Maine SD 63                 ,Glenview         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5 6                  ,51.5,3.6,14.6,20.8,0,0,9.5,274,33.1,3.7,25.1,29.1,0.2,0.1,8.7,"3,539"
50160630022011,2,Melzer School                    ,East Maine SD 63                 ,Morton Grove     ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,PK K 1 2 3 4 5 6               ,38.1,0.4,14,33.7,0,0,13.8,501,33.1,3.7,25.1,29.1,0.2,0.1,8.7,"3,539"
50160630022012,2,Apollo Elem School               ,East Maine SD 63                 ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,PK K 1 2 3 4 5 6               ,20.9,4.9,30.8,31.6,0.2,0,11.7,617,33.1,3.7,25.1,29.1,0.2,0.1,8.7,"3,539"
50160640041006,1,Emerson Middle School            ,Park Ridge CCSD 64               ,Niles            ,Cook       ,0,3,ELEMENTARY ,LARGE ,MIDDLE SCHL,6 7 8                          ,83.8,0.5,8.8,4.5,0.1,0.4,1.8,814,84.3,0.7,7.7,4.9,0.3,0.2,1.9,"4,621"
50160640041007,1,Lincoln Middle School            ,Park Ridge CCSD 64               ,Park Ridge       ,Cook       ,0,3,ELEMENTARY ,LARGE ,MIDDLE SCHL,6 7 8                          ,88,0,6.5,3.2,0,0,2.3,708,84.3,0.7,7.7,4.9,0.3,0.2,1.9,"4,621"
50160640042001,2,George B Carpenter Elem School   ,Park Ridge CCSD 64               ,Park Ridge       ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,84.2,1.8,7.2,3.5,0.2,0.4,2.6,456,84.3,0.7,7.7,4.9,0.3,0.2,1.9,"4,621"
50160640042004,2,Eugene Field Elem School         ,Park Ridge CCSD 64               ,Park Ridge       ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,82.3,0.8,8,6.7,0,0.2,2.1,660,84.3,0.7,7.7,4.9,0.3,0.2,1.9,"4,621"
50160640042005,2,Franklin Elementary School       ,Park Ridge CCSD 64               ,Park Ridge       ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,75.7,1,10,9.8,1.4,0,2.2,510,84.3,0.7,7.7,4.9,0.3,0.2,1.9,"4,621"
50160640042011,2,Theodore Roosevelt Elem School   ,Park Ridge CCSD 64               ,Park Ridge       ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,87.1,0.7,5.4,4.6,0.4,0.3,1.3,669,84.3,0.7,7.7,4.9,0.3,0.2,1.9,"4,621"
50160640042012,2,George Washington Elem School    ,Park Ridge CCSD 64               ,Park Ridge       ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,86.6,0.3,8.2,3.4,0.2,0,1.4,625,84.3,0.7,7.7,4.9,0.3,0.2,1.9,"4,621"
50160650041002,1,Chute Middle School              ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,MIDDLE SCHL,6 7 8                          ,29.6,33.3,27.1,3.2,0.2,0.2,6.5,598,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
